id_subject,status,anat,func
A1470,,,
A1522,,,
A1568,,,
A1587,,,
A1611,,,
A1623,,,
A1642,,,
A1731,,,
A1773,,,
A1790,,,
A1820,,,
A1820B,,,
B1658,,,
B1687,,,
B1783,,,
C2063,,,
C2065,,,
C2106,,,
D2098,,,
D2228,,,
D2354,,,
D2358,,,
D2410,,,
D2422,,,
D2443,,,
D2443B,,,
D2545,,,
D2568,,,
D2570,,,
D2583,,,
P0003,,,
